variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation
Profil physique,Profil physique,AMBASSADEURS,Ambassadeurs,59,1,0.01694915254237288,0.002998156692981528,0.08995937462385317,281,10,0.03558718861209965,0.03235294117647059,-0.01540378863409771,0.5238828967642526,0.4762711864406779,0.4672413793103448,0.6969524470876527,0.958789049081504,False,False,TRES_PEU_D_EVENEMENTS
Profil physique,Profil physique,VOLUNTARY,Abandon volontaire,59,2,0.03389830508474576,0.009345713033501513,0.11543786981607584,281,11,0.03914590747330961,0.03823529411764706,-0.004336989032901299,0.8865710560625815,0.8659476117103236,0.861244019138756,1.0,1.0,False,False,TRES_PEU_D_EVENEMENTS
Profil physique,Profil physique,FINALE_ORIENTATION,Orientation,59,7,0.11864406779661017,0.05867508277913999,0.22523875773415056,281,14,0.0498220640569395,0.061764705882352944,0.05687936191425723,1.92090395480226,2.38135593220339,2.5673076923076925,0.06797424763858696,0.6117682287472826,False,True,SURREPRESENTATION_DESCRIPTIVE
Profil physique,Profil physique,FINALE_POTEAUX,Poteaux,59,5,0.0847457627118644,0.036741491306199775,0.1835202461416055,281,11,0.03914590747330961,0.047058823529411764,0.03768693918245264,1.8008474576271185,2.164869029275809,2.272727272727273,0.16825446065773195,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE
Profil physique,Profil physique,JURY_FINAL_DECISION,Défaite au jury final,59,2,0.03389830508474576,0.009345713033501513,0.11543786981607584,281,13,0.046263345195729534,0.04411764705882353,-0.01021934197407777,0.7683615819209039,0.7327249022164277,0.7233468286099866,1.0,1.0,False,False,TRES_PEU_D_EVENEMENTS
Profil physique,Profil physique,CENSORED_WINNER,Victoire,59,3,0.05084745762711865,0.017442401159453308,0.1391672332228667,281,17,0.060498220640569395,0.058823529411764705,-0.007976071784646058,0.864406779661017,0.8404785643070788,0.8319327731092437,1.0,1.0,False,True,PROCHE_DE_LA_MOYENNE
Âge,18–25 ans,VOTE_CONSEIL,Conseil,80,50,0.625,0.515485228513904,0.7230598374199522,260,155,0.5961538461538461,0.6029411764705882,0.022058823529411797,1.0365853658536586,1.0483870967741935,1.1290322580645162,0.6960531019828683,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,18–25 ans,MEDICAL,Blessure / médical,80,6,0.075,0.03482477485108787,0.15412200097380097,260,17,0.06538461538461539,0.06764705882352941,0.00735294117647059,1.108695652173913,1.1470588235294117,1.1589825119236883,0.7997219579050507,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,18–25 ans,ELIMINATION_CHALLENGE,Épreuve éliminatoire,80,3,0.0375,0.012834336300788757,0.10454891974394322,260,13,0.05,0.047058823529411764,-0.009558823529411765,0.796875,0.7499999999999999,0.7402597402597403,0.7713615521464172,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,18–25 ans,AMBASSADEURS,Ambassadeurs,80,4,0.05,0.01961323712729557,0.121624525510822,260,7,0.026923076923076925,0.03235294117647059,0.01764705882352941,1.5454545454545454,1.8571428571428572,1.9022556390977443,0.29420092287710775,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,18–25 ans,VOLUNTARY,Abandon volontaire,80,6,0.075,0.03482477485108787,0.15412200097380097,260,7,0.026923076923076925,0.03823529411764706,0.036764705882352935,1.9615384615384612,2.7857142857142856,2.9305019305019306,0.08676252697042776,0.6246901941870798,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,18–25 ans,FINALE_ORIENTATION,Orientation,80,3,0.0375,0.012834336300788757,0.10454891974394322,260,18,0.06923076923076923,0.061764705882352944,-0.024264705882352945,0.6071428571428571,0.5416666666666666,0.5238095238095238,0.42795621377112925,0.958789049081504,False,True,SOUS_REPRESENTATION_DESCRIPTIVE
Âge,18–25 ans,FINALE_POTEAUX,Poteaux,80,2,0.025,0.006882748898125228,0.08664600055322111,260,14,0.05384615384615385,0.047058823529411764,-0.022058823529411763,0.53125,0.4642857142857143,0.45054945054945056,0.3772942448801896,0.958789049081504,False,False,TRES_PEU_D_EVENEMENTS
Âge,18–25 ans,JURY_FINAL_DECISION,Défaite au jury final,80,4,0.05,0.01961323712729557,0.121624525510822,260,11,0.04230769230769231,0.04411764705882353,0.0058823529411764705,1.1333333333333333,1.1818181818181819,1.1913875598086126,0.7587418975570959,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,18–25 ans,CENSORED_WINNER,Victoire,80,2,0.025,0.006882748898125228,0.08664600055322111,260,18,0.06923076923076923,0.058823529411764705,-0.033823529411764704,0.42500000000000004,0.3611111111111111,0.34472934472934474,0.1798142480268755,0.6814013609439492,False,False,TRES_PEU_D_EVENEMENTS
Âge,26–33 ans,VOTE_CONSEIL,Conseil,102,59,0.5784313725490197,0.48146361785272707,0.6697056766401756,238,146,0.6134453781512605,0.6029411764705882,-0.02450980392156854,0.9593495934959351,0.9429223744292238,0.864606562599554,0.5480171045738811,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,26–33 ans,MEDICAL,Blessure / médical,102,6,0.058823529411764705,0.02723526813965306,0.1224374503377698,238,17,0.07142857142857142,0.06764705882352941,-0.008823529411764702,0.8695652173913044,0.823529411764706,0.8125,0.8154389032856686,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Âge,26–33 ans,ELIMINATION_CHALLENGE,Épreuve éliminatoire,102,6,0.058823529411764705,0.02723526813965306,0.1224374503377698,238,10,0.04201680672268908,0.047058823529411764,0.011764705882352941,1.25,1.4,1.425,0.5773949598688567,0.958789049081504,False,True,SURREPRESENTATION_DESCRIPTIVE
Âge,26–33 ans,AMBASSADEURS,Ambassadeurs,102,3,0.029411764705882353,0.010052266068000588,0.0829319669745838,238,8,0.03361344537815126,0.03235294117647059,-0.0029411764705882387,0.909090909090909,0.875,0.8712121212121212,1.0,1.0,False,True,PROCHE_DE_LA_MOYENNE
Âge,26–33 ans,VOLUNTARY,Abandon volontaire,102,2,0.0196078431372549,0.005393639125345434,0.06869443210562613,238,11,0.046218487394957986,0.03823529411764706,-0.01862745098039216,0.5128205128205128,0.4242424242424242,0.4127272727272727,0.35830811272327745,0.958789049081504,False,False,TRES_PEU_D_EVENEMENTS
