cause,model,n_events,covariates,variable,hazard_ratio,hr_ci_lower,hr_ci_upper,p,concordance,status
FINALE_POTEAUX,FINALE_POTEAUX_M2,16,physical_score,physical_score,2.1454589736774334,0.9148164595053998,5.031604055551928,0.07921735170033155,0.5757575757575758,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M3,16,age_18_25,age_18_25,0.8233765377214507,0.3009739992241698,2.2525165782351095,0.7050708925426812,0.5151515151515151,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M4,16,age_34_41,age_34_41,2.1737438112056218,1.0412651705961873,4.537904743370318,0.038673510823261724,0.6212121212121212,SUCCESS
FINALE_POTEAUX,FINALE_POTEAUX_M5,16,age_42_plus,age_42_plus,1.0412013526656312,0.3884100681198785,2.791122954253968,0.9360368897505134,0.5,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M1,16,gender_male,gender_male,0.8126134874754762,0.3801443045037653,1.737078978176603,0.5924223741856904,0.5602836879432624,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M2,16,physical_score,physical_score,0.6839944801844995,0.25496690796803373,1.8349379244992836,0.45063893200570304,0.5390070921985816,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M3,16,age_18_25,age_18_25,0.9256398659981546,0.34385882158117465,2.4917469256283566,0.8784479609151149,0.5141843971631206,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M4,16,age_34_41,age_34_41,1.1733181657421834,0.44385502208018823,3.1016333027136214,0.7472513326040278,0.5425531914893617,SUCCESS
ELIMINATION_CHALLENGE,ELIMINATION_CHALLENGE_M5,16,age_42_plus,age_42_plus,0.9055904821408056,0.3105115048964389,2.6411070392304232,0.8559059181597124,0.48226950354609927,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M1,15,gender_male,gender_male,1.097888076924301,0.5623883664961388,2.1432844298723865,0.7843772041715757,0.5,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M2,15,physical_score,physical_score,0.821984981349681,0.33447429946981444,2.020063456700392,0.6691560001651607,0.53125,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M3,15,age_18_25,age_18_25,1.8819293181614394,0.8073663832032771,4.386679990940208,0.14308633187415304,0.5625,SUCCESS
JURY_FINAL_DECISION,JURY_FINAL_DECISION_M4,15,age_34_41,age_34_41,0.40470635109783654,0.18639678424672373,0.8787020188187834,0.022203652468000875,0.625,SUCCESS
