candidate_season_key,season_id,season_name,candidate_name,normalized_rank,normalized_exit_rank,at_risk,exits_at_rank,exit_cause_at_rank,gender_male,gender_label,physical_score,physical_label,age_band,age_label
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,3,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,4,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,5,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,6,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,7,8,1,0,,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::philippe huquet,KL03,Koh-Lanta : Bocas del Toro,Philippe Huquet,8,8,1,1,MEDICAL,1,Homme,0.0,Profil non physique,42+,42 ans et plus
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,1,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,2,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,3,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,4,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,5,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,6,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,7,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,8,9,1,0,,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::alexandre bérard,KL03,Koh-Lanta : Bocas del Toro,Alexandre Bérard,9,9,1,1,VOTE_CONSEIL,1,Homme,0.0,Profil non physique,18-25,18–25 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,1,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,2,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,3,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,4,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,5,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,6,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,7,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,8,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,9,10,1,0,,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::richard lecourt,KL03,Koh-Lanta : Bocas del Toro,Richard Lecourt,10,10,1,1,VOTE_CONSEIL,1,Homme,0.0,Profil non physique,26-33,26–33 ans
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,1,11,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,2,11,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,3,11,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,4,11,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
KL03::sylvie rivoal,KL03,Koh-Lanta : Bocas del Toro,Sylvie Rivoal,5,11,1,0,,0,Femme,0.0,Profil non physique,26-33,26–33 ans
