season_name,candidate_name,profession_normalized,profile_documentation_sufficient,physical_score,physical_positive_reason,physical_zero_reason,physical_score_justification,external_research_required,audit_status,audit_warning
Koh-Lanta : Le Feu Sacré,Quentin,Charpentier,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Julie,Footballeuse,True,1.0,STRENGTH_OR_COMBAT_SPORT,,Sport exigeant documenté: Footballeuse,False,PASS,
Koh-Lanta : Le Feu Sacré,Nicolas,Entrepreneur,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Tania,Diététicienne,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Feu Sacré,Frédéric,Directeur commercial,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Le Totem Maudit,"Céline ""Lili"" Gasnier",nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Céline Dufrenoy,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Franck Macia,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Mattéo Real,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Samira Aït-Brahim,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Benjamin Breerette,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Stéphanie Tribot,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Jean-Philippe Masy,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Alexandra Élizé,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Setha El Hajjami,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Colin Mottas,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Pauline Pourchaire,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Yannick Zachée,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Anne-Sophie Mounier,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Maxime Tournoux,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Louana Roy,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Fouzi Ould Bouamama,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Nicolas Bellon,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Olga Khokhlova,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Ambre Daudet,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Jean-Charles Chatelus,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Géraldine Nicolle,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,Bastien San Pedro,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Le Totem Maudit,François Descamp,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,François,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Carole,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Samuel,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Diane,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Estelle,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Mathieu,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Adrien,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Aubin,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Sébastien,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Marie-France,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Hadja,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Bertrand-Kamal († décédé avant la finale),nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Joaquina,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Jody,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Laurent,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Alix,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Fabrice,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Ava,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Angélique,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Dorian,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Lola,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Loïc,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Brice,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les 4 Terres,Alexandra,nan,False,,,,Données locales insuffisantes pour le score physique,True,PASS,
Koh-Lanta : Les Armes secrètes,Sylviane,Maître-nageur,True,1.0,DIRECT_PHYSICAL_PROFESSION,,Profession physique directe: Maître-nageur,False,PASS,
Koh-Lanta : Les Armes secrètes,Marie,Étudiante en événementiel,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
Koh-Lanta : Les Armes secrètes,Élodie,Coach sportive,True,0.0,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,"Profil documenté, aucun indicateur physique qualifiant",False,PASS,
