candidate_season_key,season_id,season_name,candidate_name,survival_time,final_position_raw,departure_type_normalized,departure_category,departure_model_category,final_departure_cause,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,confidence,research_status,manual_reviewer_decision,researcher_notes,classification_rule,allowed_departure_causes
KL29::claire,KL29,Koh-Lanta : La Revanche des 4 Terres,Claire,21.0,"Éliminée [ 66 ] , [ 67 ] , [ 68 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL29::jérôme#row22,KL29,Koh-Lanta : La Revanche des 4 Terres,Jérôme,22.0,"Éliminé [ 69 ] , [ 70 ] , [ 71 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::carole,KL32,Koh-Lanta : Les 4 Terres,Carole,2.0,"Éliminée [ 21 ] [source secondaire souhaitée] , [ 22 ] [source secondaire souhaitée] , [ 23 ] [source secondaire souhaitée] , [ 20 ]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::diane,KL32,Koh-Lanta : Les 4 Terres,Diane,4.0,"Éliminée [ 27 ] [source secondaire souhaitée] , [ 28 ] [source secondaire souhaitée] , [ 29 ] [source secondaire souhaitée] , [ 30 ]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::estelle,KL32,Koh-Lanta : Les 4 Terres,Estelle,5.0,"Éliminée [ 31 ] [source secondaire souhaitée] , [ 32 ] [source secondaire souhaitée] , [ 33 ] [source secondaire souhaitée] , [ 30 ]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::mathieu,KL32,Koh-Lanta : Les 4 Terres,Mathieu,6.0,"Éliminé [ 34 ] [source secondaire souhaitée] , [ 35 ] [source secondaire souhaitée] , [ 36 ] [source secondaire souhaitée] , [ 37 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::adrien,KL32,Koh-Lanta : Les 4 Terres,Adrien,7.0,"Éliminé [ 38 ] [source secondaire souhaitée] , [ 39 ] [source secondaire souhaitée] , [ 40 ] [source secondaire souhaitée] , [ 41 ]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::aubin,KL32,Koh-Lanta : Les 4 Terres,Aubin,8.0,"Éliminé [ 42 ] [source secondaire souhaitée] , [ 43 ] [source secondaire souhaitée] , [ 44 ] [source secondaire souhaitée] , [ 45 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::sébastien,KL32,Koh-Lanta : Les 4 Terres,Sébastien,9.0,"Éliminé [ 46 ] [source secondaire souhaitée] , [ 47 ] [source secondaire souhaitée] , [ 48 ] [source secondaire souhaitée] , [ 49 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::marie-france,KL32,Koh-Lanta : Les 4 Terres,Marie-France,10.0,"Éliminée [ 50 ] [source secondaire souhaitée] , [ 51 ] [source secondaire souhaitée] , [ 52 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
KL32::hadja,KL32,Koh-Lanta : Les 4 Terres,Hadja,11.0,"Éliminée [ 53 ] [source secondaire souhaitée] , [ 54 ] [source secondaire souhaitée] , [ 55 ] [source secondaire souhaitée] , [ 56 ] [source secondaire souhaitée]",INDETERMINE,INDETERMINE,INDETERMINE,,,,,,,,NOT_STARTED,,,,VOTE_CONSEIL | MEDICAL | ELIMINATION_CHALLENGE | AMBASSADEURS | DESTINS_LIES | FINALE_ORIENTATION | FINALE_POTEAUX | VOLUNTARY | DISCIPLINARY_EXPULSION | OTHER | UNRESOLVED
