candidate_season_key,season_id,season_name,season_year,candidate_name,age,gender,physical_score_previous,survival_time,event,censored,final_position_raw,departure_type_normalized,departure_category,departure_model_category,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,final_departure_cause,age_band,event_vote_conseil,event_medical,event_finale_orientation,event_finale_poteaux,event_elimination_challenge,event_jury_final_decision,event_voluntary,event_ambassadeurs,event_destins_lies,physical_score,physical_profile,physical_score_source,physical_score_reviewer_status,event_vote_conseil_combined,analysis_departure_cause,season_cast_size,normalized_exit_rank_20,normalized_rank_block_3,reached_orientation,reached_poteaux,reached_jury_final,jury_final_win,final_phase_reached,prefinal_exit_event,prefinal_exit_order,prefinal_exit_count_season,prefinal_rank_15,prefinal_block_3,prefinal_block_5
KL02::françois-xavier,KL02,KL KL02,2002,François-Xavier,35.0,MALE,0.0,10.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,10,10,MANUAL_FINAL,1,1,1,1,VOTE_CONSEIL,34-41,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,12,10–12,0,0,0,0,0,1,10.0,13.0,11.0,10–12,11–15
KL02::isabelle,KL02,KL KL02,2002,Isabelle,25.0,FEMALE,0.0,11.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,11,11,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,18-25,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,13,13–15,0,0,0,0,0,1,11.0,13.0,12.0,10–12,11–15
KL02::maud,KL02,KL KL02,2002,Maud,36.0,FEMALE,0.0,12.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,12,12,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,34-41,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,14,13–15,0,0,0,0,0,1,12.0,13.0,13.0,13–15,11–15
KL02::marianne,KL02,KL KL02,2002,Marianne,25.0,FEMALE,0.0,13.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,13,13,MANUAL_FINAL,0,1,1,1,ELIMINATION_CHALLENGE,18-25,0,0,0,0,1,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,ELIMINATION_CHALLENGE,16,16,16–18,0,0,0,0,0,1,13.0,13.0,15.0,13–15,11–15
KL02::bernard,KL02,KL KL02,2002,Bernard,34.0,MALE,0.0,14.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,14,14,MANUAL_FINAL,1,1,1,1,FINALE_POTEAUX,34-41,0,0,0,1,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,FINALE_POTEAUX,16,17,16–18,1,1,0,0,1,0,,13.0,,Phase finale atteinte,Phase finale atteinte
KL02::nicolas roy,KL02,KL KL02,2002,Nicolas Roy,47.0,MALE,0.0,15.0,1,False,FINALISTE,FINALISTE,FIN_DE_JEU,AUTRE_SORTIE,False,15,15,MANUAL_FINAL,1,1,1,1,JURY_FINAL_DECISION,42+,0,0,0,0,0,1,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,JURY_FINAL_DECISION,16,18,16–18,1,1,1,0,1,0,,13.0,,Phase finale atteinte,Phase finale atteinte
KL02::amel fatnassi,KL02,KL KL02,2002,Amel Fatnassi,29.0,FEMALE,0.0,16.0,0,True,VAINQUEUR,VAINQUEUR,FIN_DE_JEU,AUTRE_SORTIE,False,16,16,MANUAL_FINAL,0,1,1,1,CENSORED_WINNER,26-33,0,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,CENSORED_WINNER,16,20,19–20,1,1,1,1,1,0,,13.0,,Phase finale atteinte,Phase finale atteinte
KL07::ali,KL07,KL KL07,2007,Ali,35.0,MALE,0.0,1.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,1,1,MANUAL_FINAL,1,1,1,1,VOLUNTARY,34-41,0,0,0,0,0,0,1,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,0,VOLUNTARY,16,1,1–3,0,0,0,0,0,1,1.0,12.0,1.0,1–3,1–5
KL07::pascale,KL07,KL KL07,2007,Pascale,35.0,FEMALE,0.0,2.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,2,2,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,34-41,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,2,1–3,0,0,0,0,0,1,2.0,12.0,2.0,1–3,1–5
KL07::marie-laure,KL07,KL KL07,2007,Marie-Laure,39.0,FEMALE,0.0,3.0,1,False,INDETERMINE,INDETERMINE,INDETERMINE,INDETERMINE,False,3,3,MANUAL_FINAL,0,1,1,1,VOTE_CONSEIL,34-41,1,0,0,0,0,0,0,0,0,0,Profil non physique,MANUAL_USER_VALIDATION,USER_VALIDATED,1,VOTE_CONSEIL,16,3,1–3,0,0,0,0,0,1,3.0,12.0,3.0,1–3,1–5
